"","competition","team","xp_w","xp_w_z"
"1","Premier League","Man City",50.4262050210628,70
"2","Premier League","Arsenal",48.9283372450713,68
"3","Premier League","Liverpool",48.7344632058147,68
"4","Premier League","Chelsea",40.1774461820341,59
"5","Premier League","Tottenham",36.5137550191444,55
"6","Premier League","Newcastle",35.7639891732352,54
"7","Premier League","Man United",34.9396626760415,53
"8","Premier League","Aston Villa",33.4205255638921,52
"9","Premier League","Brighton",32.3509612851806,51
"10","Premier League","Bournemouth",30.8667508221239,49
"11","Premier League","Fulham",28.9823787298832,47
"12","Premier League","Crystal Palace",27.7544798628146,46
"13","Premier League","Nott'm Forest",27.1782280106698,45
"14","Premier League","Brentford",26.9520412719522,45
"15","Premier League","West Ham",26.1203214280049,44
"16","Premier League","Everton",25.6858561530476,44
"17","Premier League","Wolves",23.7390817924498,41
"18","Premier League","Ipswich",19.5075247725455,37
"19","Premier League","Leicester",19.4045079718028,37
"20","Premier League","Southampton",19.2298654327715,37
"21","La Liga","Real Madrid",49.1623564496902,72
"22","La Liga","Barcelona",46.1598119246373,69
"23","La Liga","Ath Madrid",42.6566550118355,64
"24","La Liga","Ath Bilbao",37.7826587730112,58
"25","La Liga","Sociedad",37.2079958035171,57
"26","La Liga","Girona",34.9060549151317,55
"27","La Liga","Villarreal",33.2856411561768,53
"28","La Liga","Celta",30.7653105778504,49
"29","La Liga","Betis",30.7039117599608,49
"30","La Liga","Mallorca",28.8691430720706,47
"31","La Liga","Valencia",28.8285607651877,47
"32","La Liga","Sevilla",28.5018892828881,47
"33","La Liga","Getafe",27.7087155500805,46
"34","La Liga","Vallecano",27.5216940661173,45
"35","La Liga","Osasuna",27.3404118975967,45
"36","La Liga","Alaves",27.2172313489462,45
"37","La Liga","Las Palmas",23.0945891831626,40
"38","La Liga","Espanol",21.5999904185593,38
"39","La Liga","Leganes",20.8963819337528,37
"40","La Liga","Valladolid",20.5738805237645,37
"41","Serie A","Inter",49.1278544087048,71
"42","Serie A","Juventus",42.0914130824636,63
"43","Serie A","Milan",41.6736494504212,62
"44","Serie A","Napoli",41.4846156198367,62
"45","Serie A","Atalanta",41.3327766518153,62
"46","Serie A","Lazio",36.7965964403572,56
"47","Serie A","Fiorentina",36.5787866080292,56
"48","Serie A","Roma",36.1034503562531,56
"49","Serie A","Bologna",33.8320652963359,53
"50","Serie A","Torino",28.4429017003903,47
"51","Serie A","Udinese",26.4006818167011,44
"52","Serie A","Genoa",24.7845313891459,42
"53","Serie A","Como",24.6981897804835,42
"54","Serie A","Cagliari",24.504724070661,42
"55","Serie A","Lecce",24.0237469237821,41
"56","Serie A","Parma",23.7767620239965,41
"57","Serie A","Monza",23.5485551233755,41
"58","Serie A","Verona",23.1904424499705,40
"59","Serie A","Empoli",22.871353852028,40
"60","Serie A","Venezia",22.1139032279298,39
"61","Ligue 1","Paris SG",44.2876388188969,73
"62","Ligue 1","Monaco",36.7797787827173,62
"63","Ligue 1","Marseille",34.6681679284823,59
"64","Ligue 1","Lens",33.8434033777418,58
"65","Ligue 1","Lille",33.7061457711388,58
"66","Ligue 1","Lyon",31.6815304679603,55
"67","Ligue 1","Rennes",31.5920547296586,55
"68","Ligue 1","Nice",30.3508471910932,53
"69","Ligue 1","Brest",28.1386487624965,50
"70","Ligue 1","Toulouse",27.9952439123492,49
"71","Ligue 1","Reims",26.906079755877,48
"72","Ligue 1","Strasbourg",24.3743609302871,44
"73","Ligue 1","Nantes",23.47736516596,43
"74","Ligue 1","Montpellier",22.3685999120095,41
"75","Ligue 1","Auxerre",21.8192466511695,40
"76","Ligue 1","Le Havre",20.9348459293738,39
"77","Ligue 1","St Etienne",19.8595171604553,37
"78","Ligue 1","Angers",18.8332400778688,36
"79","Bundesliga","Bayern Munich",47.0620965979552,73
"80","Bundesliga","Leverkusen",43.4411762817466,68
"81","Bundesliga","RB Leipzig",37.3528673571616,61
"82","Bundesliga","Stuttgart",36.4978844257374,60
"83","Bundesliga","Dortmund",35.8050850040286,59
"84","Bundesliga","Ein Frankfurt",29.6386475984213,51
"85","Bundesliga","Mainz",27.0041062593974,48
"86","Bundesliga","Freiburg",26.9265988533058,48
"87","Bundesliga","Wolfsburg",26.2481714709068,47
"88","Bundesliga","M'gladbach",26.0646244713525,47
"89","Bundesliga","Hoffenheim",25.320532545638,46
"90","Bundesliga","Union Berlin",24.9234963166855,46
"91","Bundesliga","Werder Bremen",24.3012265525793,45
"92","Bundesliga","Augsburg",24.0504994176331,44
"93","Bundesliga","St Pauli",20.8206633123126,41
"94","Bundesliga","Heidenheim",20.2132511262761,40
"95","Bundesliga","Bochum",20.0166802400591,40
"96","Bundesliga","Holstein Kiel",18.7754424741316,38
